"Station Name","Date (Local Standard Time)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)"
"Neir AGDM","27-June-2022","15.5","AGGREGATED","100.0","9.0","AGGREGATED","100.0","11.2","AGGREGATED","100.0","45.0","AGGREGATED","100.0"
"Neir AGDM","28-June-2022","14.3","AGGREGATED","100.0","12.7","AGGREGATED","100.0","16.8","AGGREGATED","100.0","167.2","AGGREGATED","100.0"
"Neir AGDM","29-June-2022","11.8","AGGREGATED","100.0","11.6","AGGREGATED","100.0","14.8","AGGREGATED","100.0","316.6","AGGREGATED","100.0"
"Neir AGDM","30-June-2022","13.8","AGGREGATED","100.0","10.8","AGGREGATED","100.0","13.3","AGGREGATED","100.0","309.8","AGGREGATED","100.0"
"Neir AGDM","01-July-2022","15.3","AGGREGATED","100.0","10.3","AGGREGATED","100.0","12.7","AGGREGATED","100.0","322.7","AGGREGATED","100.0"
"Neir AGDM","02-July-2022","11.3","AGGREGATED","100.0","8.3","AGGREGATED","100.0","10.2","AGGREGATED","100.0","22.2","AGGREGATED","100.0"
"Neir AGDM","03-July-2022","10.9","AGGREGATED","100.0","4.9","AGGREGATED","100.0","5.9","AGGREGATED","100.0","87.5","AGGREGATED","100.0"
"Neir AGDM","04-July-2022","11.2","AGGREGATED","100.0","7.6","AGGREGATED","100.0","10.0","AGGREGATED","100.0","21.2","AGGREGATED","100.0"
"Neir AGDM","05-July-2022","13.5","AGGREGATED","100.0","8.9","AGGREGATED","100.0","10.7","AGGREGATED","100.0","322.7","AGGREGATED","100.0"
"Neir AGDM","06-July-2022","11.0","AGGREGATED","100.0","8.0","AGGREGATED","100.0","10.4","AGGREGATED","100.0","89.2","AGGREGATED","100.0"
"Neir AGDM","07-July-2022","16.2","AGGREGATED","100.0","11.2","AGGREGATED","100.0","14.7","AGGREGATED","100.0","165.4","AGGREGATED","100.0"
"Neir AGDM","08-July-2022","17.0","AGGREGATED","100.0","8.6","AGGREGATED","100.0","12.3","AGGREGATED","100.0","285.1","AGGREGATED","100.0"
"Neir AGDM","09-July-2022","16.8","AGGREGATED","100.0","10.6","AGGREGATED","100.0","15.2","AGGREGATED","100.0","292.9","AGGREGATED","100.0"
"Neir AGDM","10-July-2022","15.7","AGGREGATED","100.0","7.1","AGGREGATED","100.0","9.6","AGGREGATED","100.0","276.1","AGGREGATED","100.0"
"Neir AGDM","11-July-2022","17.0","AGGREGATED","100.0","9.9","AGGREGATED","100.0","13.3","AGGREGATED","100.0","235.5","AGGREGATED","100.0"
"Neir AGDM","12-July-2022","21.2","AGGREGATED","100.0","11.6","AGGREGATED","100.0","17.0","AGGREGATED","100.0","223.8","AGGREGATED","100.0"
"Neir AGDM","13-July-2022","15.7","AGGREGATED","100.0","10.9","AGGREGATED","100.0","14.4","AGGREGATED","100.0","8.6","AGGREGATED","100.0"
"Neir AGDM","14-July-2022","17.0","AGGREGATED","100.0","10.0","AGGREGATED","100.0","13.2","AGGREGATED","100.0","173.3","AGGREGATED","100.0"
"Neir AGDM","15-July-2022","19.7","AGGREGATED","100.0","8.3","AGGREGATED","100.0","11.6","AGGREGATED","100.0","253.1","AGGREGATED","100.0"
"Neir AGDM","16-July-2022","17.8","AGGREGATED","100.0","10.1","AGGREGATED","100.0","14.4","AGGREGATED","100.0","357.9","AGGREGATED","100.0"
"Neir AGDM","17-July-2022","16.9","AGGREGATED","100.0","8.8","AGGREGATED","100.0","12.4","AGGREGATED","100.0","62.9","AGGREGATED","100.0"
"Neir AGDM","18-July-2022","14.4","AGGREGATED","100.0","9.2","AGGREGATED","100.0","12.3","AGGREGATED","100.0","209.3","AGGREGATED","100.0"
"Neir AGDM","19-July-2022","19.0","AGGREGATED","100.0","11.2","AGGREGATED","100.0","15.7","AGGREGATED","100.0","292.3","AGGREGATED","100.0"
"Neir AGDM","20-July-2022","16.2","AGGREGATED","100.0","9.2","AGGREGATED","100.0","11.9","AGGREGATED","100.0","177.5","AGGREGATED","100.0"
"Neir AGDM","21-July-2022","18.8","AGGREGATED","100.0","9.7","AGGREGATED","100.0","13.2","AGGREGATED","100.0","195.9","AGGREGATED","100.0"
"Neir AGDM","22-July-2022","14.2","AGGREGATED","100.0","8.3","AGGREGATED","100.0","11.2","AGGREGATED","100.0","341.1","AGGREGATED","100.0"
"Neir AGDM","23-July-2022","16.5","AGGREGATED","100.0","8.7","AGGREGATED","100.0","11.2","AGGREGATED","100.0","190.4","AGGREGATED","100.0"
"Neir AGDM","24-July-2022","17.7","AGGREGATED","100.0","8.4","AGGREGATED","100.0","11.5","AGGREGATED","100.0","0.2","AGGREGATED","100.0"
"Neir AGDM","25-July-2022","15.3","AGGREGATED","100.0","7.3","AGGREGATED","100.0","9.3","AGGREGATED","100.0","344.4","AGGREGATED","100.0"
"Neir AGDM","26-July-2022","16.5","AGGREGATED","100.0","6.3","AGGREGATED","100.0","8.1","AGGREGATED","100.0","337.6","AGGREGATED","100.0"
"Neir AGDM","27-July-2022","19.6","AGGREGATED","100.0","6.7","AGGREGATED","100.0","8.8","AGGREGATED","100.0","126.9","AGGREGATED","100.0"
"Neir AGDM","28-July-2022","21.4","AGGREGATED","100.0","11.6","AGGREGATED","100.0","14.9","AGGREGATED","100.0","172.5","AGGREGATED","100.0"
"Neir AGDM","29-July-2022","20.7","AGGREGATED","100.0","11.4","AGGREGATED","100.0","15.5","AGGREGATED","100.0","315.3","AGGREGATED","100.0"
"Neir AGDM","30-July-2022","17.9","AGGREGATED","100.0","8.1","AGGREGATED","100.0","11.3","AGGREGATED","100.0","322.1","AGGREGATED","100.0"
"Neir AGDM","31-July-2022","18.5","AGGREGATED","100.0","7.5","AGGREGATED","100.0","9.5","AGGREGATED","100.0","59.4","AGGREGATED","100.0"
"Neir AGDM","01-August-2022","19.8","AGGREGATED","100.0","14.0","AGGREGATED","100.0","19.0","AGGREGATED","100.0","155.2","AGGREGATED","100.0"
"Neir AGDM","02-August-2022","15.5","AGGREGATED","100.0","10.1","AGGREGATED","100.0","14.0","AGGREGATED","100.0","353.8","AGGREGATED","100.0"
"Neir AGDM","03-August-2022","17.5","AGGREGATED","100.0","10.0","AGGREGATED","100.0","13.5","AGGREGATED","100.0","221.4","AGGREGATED","100.0"
"Neir AGDM","04-August-2022","12.2","AGGREGATED","100.0","11.4","AGGREGATED","100.0","16.2","AGGREGATED","100.0","335.7","AGGREGATED","100.0"
"Neir AGDM","05-August-2022","10.8","AGGREGATED","100.0","14.0","AGGREGATED","100.0","19.6","AGGREGATED","100.0","332.2","AGGREGATED","100.0"
"Neir AGDM","06-August-2022","14.9","AGGREGATED","100.0","9.7","AGGREGATED","100.0","12.3","AGGREGATED","100.0","208.5","AGGREGATED","100.0"
"Neir AGDM","07-August-2022","19.2","AGGREGATED","100.0","10.5","AGGREGATED","100.0","14.6","AGGREGATED","100.0","269.2","AGGREGATED","100.0"
"Neir AGDM","08-August-2022","17.3","AGGREGATED","100.0","12.3","AGGREGATED","100.0","17.2","AGGREGATED","100.0","334.0","AGGREGATED","100.0"
"Neir AGDM","09-August-2022","18.1","AGGREGATED","100.0","12.5","AGGREGATED","100.0","16.9","AGGREGATED","100.0","159.1","AGGREGATED","100.0"
"Neir AGDM","10-August-2022","19.8","AGGREGATED","100.0","6.0","AGGREGATED","100.0","7.3","AGGREGATED","100.0","178.3","AGGREGATED","100.0"
"Neir AGDM","11-August-2022","20.6","AGGREGATED","100.0","11.6","AGGREGATED","100.0","16.8","AGGREGATED","100.0","320.6","AGGREGATED","100.0"
"Neir AGDM","12-August-2022","20.8","AGGREGATED","100.0","9.7","AGGREGATED","100.0","12.2","AGGREGATED","100.0","194.9","AGGREGATED","100.0"
"Neir AGDM","13-August-2022","19.8","AGGREGATED","100.0","10.1","AGGREGATED","100.0","12.9","AGGREGATED","100.0","279.4","AGGREGATED","100.0"
"Neir AGDM","14-August-2022","17.2","AGGREGATED","100.0","8.9","AGGREGATED","100.0","12.4","AGGREGATED","100.0","80.6","AGGREGATED","100.0"
"Neir AGDM","15-August-2022","16.6","AGGREGATED","100.0","7.8","AGGREGATED","100.0","10.4","AGGREGATED","100.0","0.3","AGGREGATED","100.0"
"Neir AGDM","16-August-2022","18.9","AGGREGATED","100.0","8.4","AGGREGATED","100.0","10.8","AGGREGATED","100.0","307.7","AGGREGATED","100.0"
"Neir AGDM","17-August-2022","18.1","AGGREGATED","100.0","8.1","AGGREGATED","100.0","11.2","AGGREGATED","100.0","26.7","AGGREGATED","100.0"
"Neir AGDM","18-August-2022","19.7","AGGREGATED","100.0","9.8","AGGREGATED","100.0","11.7","AGGREGATED","100.0","173.0","AGGREGATED","100.0"
"Neir AGDM","19-August-2022","21.8","AGGREGATED","100.0","13.1","AGGREGATED","100.0","18.9","AGGREGATED","100.0","171.5","AGGREGATED","100.0"
"Neir AGDM","20-August-2022","19.2","AGGREGATED","100.0","8.3","AGGREGATED","100.0","11.6","AGGREGATED","100.0","305.7","AGGREGATED","100.0"
"Neir AGDM","21-August-2022","17.1","AGGREGATED","100.0","10.3","AGGREGATED","100.0","14.1","AGGREGATED","100.0","330.9","AGGREGATED","100.0"
"Neir AGDM","22-August-2022","18.3","AGGREGATED","100.0","6.9","AGGREGATED","95.8","8.6","AGGREGATED","100.0","153.7","AGGREGATED","100.0"
"Neir AGDM","23-August-2022","15.5","AGGREGATED","100.0","7.6","AGGREGATED","100.0","10.0","AGGREGATED","100.0","306.0","AGGREGATED","100.0"
"Neir AGDM","24-August-2022","17.2","AGGREGATED","100.0","7.8","AGGREGATED","100.0","10.2","AGGREGATED","100.0","288.4","AGGREGATED","100.0"
"Neir AGDM","25-August-2022","16.4","AGGREGATED","100.0","9.8","AGGREGATED","100.0","11.9","AGGREGATED","100.0","211.5","AGGREGATED","100.0"
"Neir AGDM","26-August-2022","18.1","AGGREGATED","100.0","10.1","AGGREGATED","100.0","13.6","AGGREGATED","100.0","283.5","AGGREGATED","100.0"
"Neir AGDM","27-August-2022","13.0","AGGREGATED","100.0","14.4","AGGREGATED","100.0","20.5","AGGREGATED","100.0","317.3","AGGREGATED","100.0"
"Neir AGDM","28-August-2022","14.2","AGGREGATED","100.0","10.3","AGGREGATED","100.0","13.9","AGGREGATED","100.0","298.6","AGGREGATED","100.0"
"Neir AGDM","29-August-2022","17.8","AGGREGATED","100.0","10.8","AGGREGATED","100.0","14.1","AGGREGATED","100.0","266.4","AGGREGATED","100.0"
"Neir AGDM","30-August-2022","21.8","AGGREGATED","100.0","7.8","AGGREGATED","100.0","9.5","AGGREGATED","100.0","252.6","AGGREGATED","100.0"
"Neir AGDM","31-August-2022","21.4","AGGREGATED","100.0","9.0","AGGREGATED","100.0","11.5","AGGREGATED","100.0","273.0","AGGREGATED","100.0"
"Neir AGDM","01-September-2022","19.0","AGGREGATED","100.0","11.2","AGGREGATED","100.0","15.2","AGGREGATED","100.0","336.6","AGGREGATED","100.0"
"Neir AGDM","02-September-2022","19.1","AGGREGATED","100.0","9.7","AGGREGATED","100.0","12.4","AGGREGATED","100.0","203.1","AGGREGATED","100.0"
"Neir AGDM","03-September-2022","23.0","AGGREGATED","100.0","8.9","AGGREGATED","100.0","11.7","AGGREGATED","100.0","237.3","AGGREGATED","100.0"
"Neir AGDM","04-September-2022","22.5","AGGREGATED","100.0","13.3","AGGREGATED","100.0","17.9","AGGREGATED","100.0","275.6","AGGREGATED","100.0"
"Neir AGDM","05-September-2022","14.6","AGGREGATED","100.0","13.0","AGGREGATED","100.0","18.1","AGGREGATED","100.0","348.3","AGGREGATED","100.0"
"Neir AGDM","06-September-2022","12.5","AGGREGATED","100.0","13.5","AGGREGATED","100.0","17.9","AGGREGATED","100.0","190.0","AGGREGATED","100.0"
"Neir AGDM","07-September-2022","16.7","AGGREGATED","100.0","12.1","AGGREGATED","100.0","16.5","AGGREGATED","100.0","306.6","AGGREGATED","100.0"
"Neir AGDM","08-September-2022","9.7","AGGREGATED","100.0","12.7","AGGREGATED","100.0","16.2","AGGREGATED","100.0","332.0","AGGREGATED","100.0"
"Neir AGDM","09-September-2022","9.5","AGGREGATED","100.0","11.3","AGGREGATED","100.0","13.9","AGGREGATED","100.0","309.8","AGGREGATED","100.0"
"Neir AGDM","10-September-2022","15.7","AGGREGATED","100.0","11.0","AGGREGATED","100.0","14.0","AGGREGATED","100.0","250.7","AGGREGATED","100.0"
"Neir AGDM","11-September-2022","20.1","AGGREGATED","100.0","12.0","AGGREGATED","100.0","15.7","AGGREGATED","100.0","271.2","AGGREGATED","100.0"
"Neir AGDM","12-September-2022","14.6","AGGREGATED","100.0","14.3","AGGREGATED","100.0","18.5","AGGREGATED","100.0","265.9","AGGREGATED","100.0"
"Neir AGDM","13-September-2022","13.8","AGGREGATED","100.0","9.2","AGGREGATED","100.0","11.0","AGGREGATED","100.0","349.3","AGGREGATED","100.0"
"Neir AGDM","14-September-2022","13.7","AGGREGATED","100.0","10.8","AGGREGATED","100.0","13.2","AGGREGATED","100.0","9.6","AGGREGATED","100.0"
"Neir AGDM","15-September-2022","13.1","AGGREGATED","100.0","9.5","AGGREGATED","100.0","11.7","AGGREGATED","100.0","214.5","AGGREGATED","100.0"
"Neir AGDM","16-September-2022","13.6","AGGREGATED","100.0","9.2","AGGREGATED","100.0","11.7","AGGREGATED","100.0","265.2","AGGREGATED","100.0"
"Neir AGDM","17-September-2022","10.3","AGGREGATED","100.0","11.0","AGGREGATED","100.0","13.5","AGGREGATED","100.0","335.9","AGGREGATED","100.0"
"Neir AGDM","18-September-2022","8.9","AGGREGATED","100.0","7.6","AGGREGATED","100.0","9.0","AGGREGATED","100.0","34.6","AGGREGATED","100.0"
"Neir AGDM","19-September-2022","6.6","AGGREGATED","100.0","18.6","AGGREGATED","100.0","23.4","AGGREGATED","100.0","345.8","AGGREGATED","100.0"
"Neir AGDM","20-September-2022","6.0","AGGREGATED","100.0","11.4","AGGREGATED","95.8","14.1","AGGREGATED","100.0","334.7","AGGREGATED","100.0"
"Neir AGDM","21-September-2022","8.3","AGGREGATED","100.0","14.7","AGGREGATED","100.0","19.3","AGGREGATED","100.0","197.7","AGGREGATED","100.0"
"Neir AGDM","22-September-2022","10.0","AGGREGATED","100.0","9.8","AGGREGATED","100.0","12.0","AGGREGATED","100.0","186.9","AGGREGATED","100.0"
"Neir AGDM","23-September-2022","12.6","AGGREGATED","100.0","13.2","AGGREGATED","100.0","18.0","AGGREGATED","100.0","285.4","AGGREGATED","100.0"
"Neir AGDM","24-September-2022","12.3","AGGREGATED","100.0","9.3","AGGREGATED","100.0","11.1","AGGREGATED","100.0","308.8","AGGREGATED","100.0"
"Neir AGDM","25-September-2022","11.5","AGGREGATED","100.0","7.5","AGGREGATED","100.0","9.1","AGGREGATED","100.0","296.9","AGGREGATED","100.0"
"Neir AGDM","26-September-2022","14.6","AGGREGATED","100.0","8.8","AGGREGATED","100.0","11.4","AGGREGATED","100.0","226.1","AGGREGATED","100.0"
"Neir AGDM","27-September-2022","18.1","AGGREGATED","100.0","8.9","AGGREGATED","100.0","11.4","AGGREGATED","100.0","258.7","AGGREGATED","100.0"
"Neir AGDM","28-September-2022","17.1","AGGREGATED","100.0","7.8","AGGREGATED","100.0","9.3","AGGREGATED","100.0","313.8","AGGREGATED","100.0"
"Neir AGDM","29-September-2022","12.4","AGGREGATED","100.0","16.1","AGGREGATED","100.0","20.6","AGGREGATED","100.0","329.0","AGGREGATED","100.0"
"Neir AGDM","30-September-2022","11.1","AGGREGATED","100.0","18.7","AGGREGATED","100.0","23.5","AGGREGATED","100.0","348.5","AGGREGATED","100.0"
"Neir AGDM","01-October-2022","11.8","AGGREGATED","100.0","10.0","AGGREGATED","100.0","13.2","AGGREGATED","100.0","212.6","AGGREGATED","100.0"
"Neir AGDM","02-October-2022","13.3","AGGREGATED","100.0","9.3","AGGREGATED","100.0","11.6","AGGREGATED","100.0","312.8","AGGREGATED","100.0"
"Neir AGDM","03-October-2022","13.4","AGGREGATED","100.0","7.4","AGGREGATED","100.0","8.8","AGGREGATED","100.0","206.8","AGGREGATED","100.0"
"Neir AGDM","04-October-2022","13.3","AGGREGATED","100.0","10.4","AGGREGATED","100.0","13.9","AGGREGATED","100.0","359.5","AGGREGATED","100.0"
"Neir AGDM","05-October-2022","9.0","AGGREGATED","100.0","10.7","AGGREGATED","100.0","12.8","AGGREGATED","100.0","147.2","AGGREGATED","100.0"
"Neir AGDM","06-October-2022","7.7","AGGREGATED","100.0","9.3","AGGREGATED","100.0","11.6","AGGREGATED","100.0","180.7","AGGREGATED","100.0"
"Neir AGDM","07-October-2022","10.1","AGGREGATED","100.0","6.5","AGGREGATED","100.0","7.1","AGGREGATED","100.0","226.9","AGGREGATED","100.0"
"Neir AGDM","08-October-2022","11.7","AGGREGATED","100.0","8.1","AGGREGATED","100.0","10.0","AGGREGATED","100.0","293.0","AGGREGATED","100.0"
"Neir AGDM","09-October-2022","11.6","AGGREGATED","100.0","7.6","AGGREGATED","100.0","9.4","AGGREGATED","100.0","278.7","AGGREGATED","100.0"
"Neir AGDM","10-October-2022","14.3","AGGREGATED","100.0","20.1","AGGREGATED","100.0","26.5","AGGREGATED","100.0","278.3","AGGREGATED","100.0"
"Neir AGDM","11-October-2022","4.9","AGGREGATED","100.0","10.8","AGGREGATED","100.0","14.3","AGGREGATED","100.0","324.8","AGGREGATED","100.0"
"Neir AGDM","12-October-2022","5.4","AGGREGATED","100.0","12.1","AGGREGATED","100.0","15.4","AGGREGATED","100.0","318.3","AGGREGATED","100.0"
"Neir AGDM","13-October-2022","9.5","AGGREGATED","100.0","7.2","AGGREGATED","100.0","8.8","AGGREGATED","100.0","281.9","AGGREGATED","100.0"
"Neir AGDM","14-October-2022","11.0","AGGREGATED","100.0","13.8","AGGREGATED","100.0","18.2","AGGREGATED","100.0","314.4","AGGREGATED","100.0"
"Neir AGDM","15-October-2022","7.2","AGGREGATED","100.0","8.5","AGGREGATED","100.0","11.1","AGGREGATED","100.0","215.4","AGGREGATED","100.0"
"Neir AGDM","16-October-2022","11.7","AGGREGATED","100.0","7.8","AGGREGATED","100.0","9.2","AGGREGATED","100.0","199.5","AGGREGATED","100.0"
"Neir AGDM","17-October-2022","15.7","AGGREGATED","100.0","9.5","AGGREGATED","100.0","12.5","AGGREGATED","100.0","264.3","AGGREGATED","100.0"
"Neir AGDM","18-October-2022","12.9","AGGREGATED","100.0","7.6","AGGREGATED","100.0","9.8","AGGREGATED","100.0","260.6","AGGREGATED","100.0"
"Neir AGDM","19-October-2022","13.9","AGGREGATED","100.0","9.5","AGGREGATED","100.0","11.7","AGGREGATED","100.0","277.7","AGGREGATED","100.0"
"Neir AGDM","20-October-2022","9.1","AGGREGATED","100.0","15.3","AGGREGATED","100.0","19.6","AGGREGATED","100.0","302.3","AGGREGATED","100.0"
"Neir AGDM","21-October-2022","3.0","AGGREGATED","100.0","10.0","AGGREGATED","100.0","11.9","AGGREGATED","100.0","24.3","AGGREGATED","100.0"
"Neir AGDM","22-October-2022","-0.6","AGGREGATED","100.0","11.6","AGGREGATED","100.0","14.5","AGGREGATED","100.0","3.4","AGGREGATED","100.0"
"Neir AGDM","23-October-2022","-1.5","AGGREGATED","100.0","11.1","AGGREGATED","100.0","13.0","AGGREGATED","100.0","321.3","AGGREGATED","100.0"
